"separation [m]","tilt [N]","vibrations [N]","temperature fluct. [N]","frequency measurement [N]","patches [N]"
0.000024,2.535984700690564e-21,7.755050181821929e-14,5.808587972565083e-18,2.476408816403996e-13,2.4914976120419578e-15
0.0000245,2.2877893194527413e-21,7.755050180685826e-14,5.3491583951479136e-18,2.4763821675655033e-13,2.2942483072568104e-15
0.000025,2.068152671980739e-21,7.755050179777943e-14,4.93427119387267e-18,2.4763575544906134e-13,2.116166761642044e-15
0.0000255,1.8732845908584443e-21,7.755050179049106e-14,4.558842714395374e-18,2.4763347718033946e-13,1.9549810857697317e-15
0.000026,1.699950266747021e-21,7.755050178461364e-14,4.218452759586928e-18,2.476313639709058e-13,1.8088981020267133e-15
0.0000265,1.5453652352212054e-21,7.755050177985309e-14,3.909246826761842e-18,2.476294000235463e-13,1.6761954034780358e-15
0.000027,1.4071489286392065e-21,7.755050177598064e-14,3.6278541333468595e-18,2.476275714104484e-13,1.555421025760001e-15
0.0000275,1.2832543981023822e-21,7.755050177281757e-14,3.3713187618987792e-18,2.4762586581154666e-13,1.4453668436553387e-15
0.000028,1.1726521107096595e-21,7.755050177024001e-14,3.13704571684477e-18,2.4762427229473126e-13,1.3448539395977186e-15
0.000028499999999999998,1.0741497631562257e-21,7.755050176813991e-14,2.922785589232522e-18,2.476227811312466e-13,1.2529209024059054e-15
0.000029,9.852040173965503e-22,7.755050176640174e-14,2.7265277910087196e-18,2.476213836393082e-13,1.1687374763798035e-15
0.0000295,9.046785098303316e-22,7.755050176495762e-14,2.546480877027065e-18,2.476200720496766e-13,1.0914892156386366e-15
0.00003,8.3159883946744055e-22,7.755050176375356e-14,2.3810529425131896e-18,2.476188393914176e-13,1.020511661045663e-15
0.0000305,7.6512247761755215e-22,7.755050176274634e-14,2.2288265659546086e-18,2.476176793940675e-13,9.552313778580583e-16
0.000030999999999999995,7.054311778332293e-22,7.755050176191338e-14,2.0885487611639042e-18,2.476165864036395e-13,8.950804513737218e-16
0.0000315,6.517589498646153e-22,7.755050176122216e-14,1.95916021755658e-18,2.476155553128646e-13,8.395782961270636e-16
0.000032,6.025303943077729e-22,7.755050176063623e-14,1.8396548987371715e-18,2.476145814987302e-13,7.883263297311163e-16
0.0000325,5.572911272812948e-22,7.755050176013834e-14,1.7291176329766017e-18,2.476136607651287e-13,7.409292784354009e-16
0.000032999999999999996,5.16062757263097e-22,7.755050175971841e-14,1.6267295693561187e-18,2.4761278929522976e-13,6.9702563224167705e-16
0.000033499999999999994,4.792039445969036e-22,7.755050175937032e-14,1.5318265790141955e-18,2.4761196361288383e-13,6.563320352843951e-16
0.00003399999999999999,4.450423546507439e-22,7.75505017590707e-14,1.4437624752085766e-18,2.476111805489789e-13,6.185761582411932e-16
0.0000345,4.1334090001271916e-22,7.755050175881249e-14,1.3619231793329845e-18,2.476104372044678e-13,5.834897250259036e-16
0.000035,3.8486516703590284e-22,7.75505017585968e-14,1.28578210181295e-18,2.4760973092235306e-13,5.508512576886801e-16
0.000035499999999999996,3.5872173603525226e-22,7.755050175841234e-14,1.2149167202313196e-18,2.4760905926898614e-13,5.204693190230586e-16
0.000035999999999999994,3.3426447313140626e-22,7.755050175825151e-14,1.1488641580253911e-18,2.476084200092664e-13,4.921529657343513e-16
0.00003649999999999999,3.1201551589119974e-22,7.755050175811507e-14,1.0872155251505884e-18,2.476078110834617e-13,4.657214616135876e-16
0.000037,2.9170980705047846e-22,7.755050175799874e-14,1.029672130061208e-18,2.4760723059612545e-13,4.4104022120855554e-16
0.0000375,2.725679267913351e-22,7.755050175789625e-14,9.758844013640474e-19,2.4760667680021673e-13,4.179876963693338e-16
0.000037999999999999995,2.55183704359671e-22,7.75505017578092e-14,9.2554240386074e-19,2.4760614807781385e-13,3.9644233973189257e-16
0.000038499999999999994,2.39162532598033e-22,7.755050175773404e-14,8.78429157678951e-19,2.4760564293504494e-13,3.7628260393220207e-16
0.00003899999999999999,2.239548089583099e-22,7.755050175766721e-14,8.342664836826052e-19,2.4760515998897776e-13,3.5738694160623305e-16
0.0000395,2.103720630526952e-22,7.755050175761123e-14,7.928363939452663e-19,2.476046979535536e-13,3.396338053899558e-16
0.000039999999999999996,1.9752865020922812e-22,7.755050175756152e-14,7.539645625878473e-19,2.4760425563907114e-13,3.2290164791934113e-16
